date,ticker,cost_of_revenue,gross_profit,net_income,operating_income,rd_expense,revenue,stockholders_equity,total_assets
2021-03-31,TSLA,8174000000.0,2215000000.0,438000000.0,594000000.0,666000000.0,10389000000.0,23017000000.0,52972000000.0
2021-04-30,NVDA,2032000000.0,3629000000.0,1912000000.0,1956000000.0,1153000000.0,5661000000.0,18774000000.0,30796000000.0
2021-06-30,AAPL,46179000000.0,35255000000.0,21744000000.0,24126000000.0,5717000000.0,81434000000.0,64280000000.0,329840000000.0
2021-06-30,AMZN,64176000000.0,48904000000.0,7778000000.0,7702000000.0,,113080000000.0,114803000000.0,360319000000.0
2021-06-30,GOOGL,26227000000.0,35653000000.0,18525000000.0,19361000000.0,7675000000.0,61880000000.0,237565000000.0,335387000000.0
2021-06-30,META,5399000000.0,23678000000.0,10394000000.0,12367000000.0,6096000000.0,29077000000.0,138227000000.0,170609000000.0
2021-06-30,MSFT,13991000000.0,32161000000.0,16458000000.0,19095000000.0,5687000000.0,46152000000.0,141988000000.0,333779000000.0
2021-06-30,TSLA,9074000000.0,2884000000.0,1142000000.0,1312000000.0,576000000.0,11958000000.0,24804000000.0,55146000000.0
2021-07-31,NVDA,2292000000.0,4215000000.0,2374000000.0,2444000000.0,1245000000.0,6507000000.0,21147000000.0,38650000000.0
2021-09-30,AAPL,48186000000.0,35174000000.0,20551000000.0,23786000000.0,5772000000.0,83360000000.0,63090000000.0,351002000000.0
2021-09-30,AMZN,62930000000.0,47882000000.0,3156000000.0,4852000000.0,,110812000000.0,120564000000.0,382406000000.0
2021-09-30,GOOGL,27621000000.0,37497000000.0,18936000000.0,21031000000.0,7694000000.0,65118000000.0,244567000000.0,347403000000.0
2021-09-30,META,5771000000.0,23239000000.0,9194000000.0,10423000000.0,6316000000.0,29010000000.0,133360000000.0,169585000000.0
2021-09-30,MSFT,13646000000.0,31671000000.0,20505000000.0,20238000000.0,5599000000.0,45317000000.0,151978000000.0,335418000000.0
2021-09-30,TSLA,10097000000.0,3660000000.0,1618000000.0,2004000000.0,611000000.0,13757000000.0,27053000000.0,57834000000.0
2021-10-31,NVDA,2472000000.0,4631000000.0,2464000000.0,2671000000.0,1403000000.0,7103000000.0,23798000000.0,40632000000.0
2021-12-31,AAPL,69702000000.0,54243000000.0,34630000000.0,41488000000.0,6306000000.0,123945000000.0,71932000000.0,381191000000.0
2021-12-31,AMZN,82835000000.0,54577000000.0,14323000000.0,3460000000.0,,137412000000.0,138245000000.0,420549000000.0
2021-12-31,GOOGL,32988000000.0,42337000000.0,20642000000.0,21885000000.0,8708000000.0,75325000000.0,251635000000.0,359268000000.0
2021-12-31,META,6348000000.0,27323000000.0,10285000000.0,12585000000.0,7046000000.0,33671000000.0,124879000000.0,165987000000.0
2021-12-31,MSFT,16960000000.0,34768000000.0,18765000000.0,22247000000.0,5758000000.0,51728000000.0,160010000000.0,340389000000.0
2021-12-31,TSLA,12872000000.0,4847000000.0,2321000000.0,2613000000.0,740000000.0,17719000000.0,30189000000.0,62131000000.0
2022-01-31,NVDA,,,,,,,26612000000.0,44187000000.0
2022-03-31,AAPL,54719000000.0,42559000000.0,25010000000.0,29979000000.0,6387000000.0,97278000000.0,67399000000.0,350662000000.0
2022-03-31,AMZN,66499000000.0,49945000000.0,-3844000000.0,3669000000.0,,116444000000.0,134001000000.0,410767000000.0
2022-03-31,GOOGL,29599000000.0,38412000000.0,16436000000.0,20094000000.0,9119000000.0,68011000000.0,254004000000.0,357096000000.0
2022-03-31,META,6005000000.0,21903000000.0,7465000000.0,8524000000.0,7707000000.0,27908000000.0,123228000000.0,164218000000.0
2022-03-31,MSFT,15615000000.0,33745000000.0,16728000000.0,20364000000.0,6306000000.0,49360000000.0,162924000000.0,344607000000.0
2022-03-31,TSLA,13296000000.0,5460000000.0,3318000000.0,3603000000.0,865000000.0,18756000000.0,34085000000.0,66038000000.0
2022-04-30,NVDA,2857000000.0,5431000000.0,1618000000.0,1868000000.0,1618000000.0,8288000000.0,26320000000.0,45212000000.0
2022-06-30,AAPL,47074000000.0,35885000000.0,19442000000.0,23076000000.0,6797000000.0,82959000000.0,58107000000.0,336309000000.0
2022-06-30,AMZN,66424000000.0,54810000000.0,-2028000000.0,3317000000.0,,121234000000.0,131402000000.0,419728000000.0
2022-06-30,GOOGL,30104000000.0,39581000000.0,16002000000.0,19453000000.0,9841000000.0,69685000000.0,255419000000.0,355185000000.0
2022-06-30,META,5192000000.0,23630000000.0,6687000000.0,8358000000.0,8690000000.0,28822000000.0,125767000000.0,169779000000.0
