date,ticker,measure,value
2016-03-31,AAPL,total_assets,305277000000.0
2016-06-30,AAPL,total_assets,305602000000.0
2016-09-30,AAPL,total_assets,321686000000.0
2016-12-31,AAPL,total_assets,331141000000.0
2017-03-31,AAPL,total_assets,334532000000.0
2017-06-30,AAPL,total_assets,345173000000.0
2017-09-30,AAPL,total_assets,375319000000.0
2017-12-31,AAPL,total_assets,406794000000.0
2018-03-31,AAPL,total_assets,367502000000.0
2018-06-30,AAPL,total_assets,349197000000.0
2018-09-30,AAPL,total_assets,365725000000.0
2018-12-31,AAPL,total_assets,373719000000.0
2019-03-31,AAPL,total_assets,341998000000.0
2019-06-30,AAPL,total_assets,322239000000.0
2019-09-30,AAPL,total_assets,338516000000.0
2019-12-31,AAPL,total_assets,340618000000.0
2020-03-31,AAPL,total_assets,320400000000.0
2020-06-30,AAPL,total_assets,317344000000.0
2020-09-30,AAPL,total_assets,323888000000.0
2020-12-31,AAPL,total_assets,354054000000.0
2021-03-31,AAPL,total_assets,337158000000.0
2021-06-30,AAPL,total_assets,329840000000.0
2021-09-30,AAPL,total_assets,351002000000.0
2021-12-31,AAPL,total_assets,381191000000.0
2022-03-31,AAPL,total_assets,350662000000.0
2022-06-30,AAPL,total_assets,336309000000.0
2022-09-30,AAPL,total_assets,352755000000.0
2022-12-31,AAPL,total_assets,346747000000.0
2023-03-31,AAPL,total_assets,332160000000.0
2023-06-30,AAPL,total_assets,335038000000.0
2023-09-30,AAPL,total_assets,352583000000.0
2023-12-31,AAPL,total_assets,353514000000.0
2024-03-31,AAPL,total_assets,337411000000.0
2024-06-30,AAPL,total_assets,331612000000.0
2024-09-30,AAPL,total_assets,364980000000.0
2024-12-31,AAPL,total_assets,344085000000.0
2025-03-31,AAPL,total_assets,331233000000.0
2025-06-30,AAPL,total_assets,331495000000.0
2025-09-30,AAPL,total_assets,359241000000.0
2025-12-31,AAPL,total_assets,379297000000.0
2015-03-31,AMZN,cost_of_revenue,15395000000.0
2015-06-30,AMZN,cost_of_revenue,15160000000.0
2015-09-30,AMZN,cost_of_revenue,16755000000.0
2015-12-31,AMZN,cost_of_revenue,24341000000.0
2016-03-31,AMZN,cost_of_revenue,18866000000.0
